Month,Date,Confirmed,People Tested
Sept,1,715617,11470696.0
Sept,2,721281,11580370.0
Sept,3,726018,11663924.0
Sept,4,730662,11796970.0
Sept,5,735314,11916323.0
Sept,6,738856,12047191.0
Sept,7,740965,12158292.0
Sept,8,744344,12267948.0
Sept,9,747290,12343797.0
Sept,10,750961,12389991.0
Sept,11,754905,12451660.0
Sept,12,758933,12556967.0
Sept,13,761728,12690016.0
Sept,14,765134,12806189.0
Sept,15,768204,12928170.0
Sept,16,771321,13000522.0
Sept,17,775037,13080037.0
Sept,18,779491,13177186.0
Sept,19,783313,13343886.0
Sept,20,786168,13523158.0
Sept,21,790096,13672782.0
Sept,22,793065,13804055.0
Sept,23,796436,13879423.0
Sept,24,799516,13952857.0
Sept,25,803660,14052247.0
Sept,26,807451,14182730.0
Sept,27,809890,14333498.0
Sept,28,812711,14484852.0
Sept,29,815654,14613545.0
Sept,30,819115,14705202.0
Oct,1,822205,14771851.0
Oct,2,826013,14868431.0
Oct,3,829521,14998888.0
Oct,4,832713,15160287.0
Oct,5,835507,15301681.0
Oct,6,838202,15430421.0
Oct,7,841928,15556706.0
Oct,8,845270,15623623.0
Oct,9,849076,15736497.0
Oct,10,852410,15878445.0
Oct,11,855190,16047004.0
Oct,12,857913,16191341.0
Oct,13,861310,16333717.0
Oct,14,865204,16425487.0
Oct,15,868148,16517812.0
Oct,16,871253,16621956.0
Oct,17,873614,16756711.0
Oct,18,875692,16892062.0
Oct,19,879645,17042408.0
Oct,20,883746,17189070.0
Oct,21,886939,17293139.0
Oct,22,893364,17358770.0
Oct,23,898799,17483293.0
Oct,24,903684,17609179.0
Oct,25,906596,17787885.0
Oct,26,910438,17982829.0
Oct,27,914888,18127049.0
Oct,28,919276,18223596.0
Oct,29,923648,18323771.0
Oct,30,928028,18444523.0
